동호회명,시도명,시군구명,종목명,소속그룹명,종목분류명,성별구분명,회원수,설립일자
5080,전라북도,전라북도 정읍시,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,7,2023-02-27
511 GYM,인천광역시,인천광역시 미추홀구,보디빌딩,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-05-03
573스위밍풀,광주광역시,광주광역시 서구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,26,2022-07-01
603 볼링클럽,광주광역시,광주광역시 동구,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,8,2024-03-27
6070,전라남도,전라남도 순천시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,1,2024-05-14
68코리아_서,대전광역시,대전광역시 서구,탁구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-03-27
6남매,경기도,경기도 남양주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2019-06-28
74산악회,세종특별자치시,세종특별자치시 세종특별자치시,산악,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-10-28
80 + a,광주광역시,광주광역시 광산구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,14,2024-03-25
88탁구클럽,경상북도,경상북도 경주시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,2020-08-12
88테니스클럽,광주광역시,광주광역시 북구,테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-06-28
9&9배구동호회,서울특별시,서울특별시 도봉구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2024-06-21
902 SQUASH,울산광역시,울산광역시 울주군,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,2020-11-13
902 스쿼시,울산광역시,울산광역시 울주군,스쿼시,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,12,2022-06-28
957트레이닝,경기도,경기도 평택시,역도,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-06-12
96탁우정_서초,서울특별시,서울특별시 서초구,탁구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2024-03-27
9Story,부산광역시,부산광역시 남구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,3,2024-03-22
A+,광주광역시,광주광역시 광산구,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,19,2022-04-18
A-JAX,부산광역시,부산광역시 해운대구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,29,2022-03-29
A-JAX(에이젝스),부산광역시,부산광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,41,2021-03-15
A-TEMPO,충청북도,충청북도 청주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,2020-01-03
A-TOWN,경상북도,경상북도 안동시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,2021-06-22
A-one,경상남도,경상남도 김해시,롤러,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2023-03-13
A-quick,인천광역시,인천광역시 서구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,8,2023-06-02
A-템포,충청북도,충청북도 청주시흥덕구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,17,2022-05-20
A.T.C,서울특별시,서울특별시 강서구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,44,2019-03-26
A.T.C,서울특별시,서울특별시 송파구,사격,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-05-03
AAV,서울특별시,서울특별시 서대문구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,63,2023-04-24
ABC,서울특별시,서울특별시 노원구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,19,2024-03-22
ABC,세종특별자치시,세종특별자치시 세종특별자치시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,10,2024-03-22
ABC당구클럽,경상북도,경상북도 안동시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,1,2024-03-22
ABC클럽,인천광역시,인천광역시 연수구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,1,2024-03-22
ACE,경상북도,경상북도 안동시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,11,2024-03-22
ACE,서울특별시,서울특별시 서초구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,9,2024-03-22
ACE,울산광역시,울산광역시 북구,스쿼시,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,16,2022-09-26
ACE LIBERO,인천광역시,인천광역시 미추홀구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,6,2021-11-01
ACE 에이스클럽,광주광역시,광주광역시 서구,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-09-30
ACE 요트 클럽,경상남도,경상남도 통영시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2021-09-10
ACE302_부평,인천광역시,인천광역시 부평구,탁구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-03-27
ADKF,서울특별시,서울특별시 관악구,우슈,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2023-06-08
AD당구클럽,경상북도,경상북도 안동시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,5,2024-04-23
AFC,경기도,경기도 안양시만안구,롤러,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,3,2022-09-14
AIM,서울특별시,서울특별시 강서구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,7,2024-02-15
AIR swim,서울특별시,서울특별시 강서구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-06-14
AIRBORNE,경기도,경기도 용인시처인구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2024-04-02
AI페퍼스유소년배구교실(목포),전라남도,전라남도 목포시,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2024-05-29
AJ,제주특별자치도,제주특별자치도 제주시,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2023-11-09
AJAX,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,2020-01-03
AJC,충청북도,충청북도 청주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,67,2019-12-28
AJC,충청북도,충청북도 청주시청원구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,45,2022-03-17
AK-O swim,충청북도,충청북도 청주시흥덕구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,3,2024-06-10
ALT,충청남도,충청남도 아산시,역도,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2023-04-27
ANCHOR,울산광역시,울산광역시 북구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-06-09
ANKH,대전광역시,대전광역시 동구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,7,2023-04-07
AOCC,경기도,경기도 안양시동안구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,3,2024-03-22
"AOST(ALL OUT SWIM TEAM, 올 아웃 스윔 팀)",광주광역시,광주광역시 남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,2020-01-30
"AOST(ALLOUT SWIM TEAM, 올 아웃 스윔 팀)",광주광역시,광주광역시 북구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-06-08
APEX,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,17,2023-02-27
APROMAN,서울특별시,서울특별시 노원구,요트,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,6,2022-04-14
AQUA swim,제주특별자치도,제주특별자치도 서귀포시,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2022-08-09
ASAP,인천광역시,인천광역시 남동구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-07-11
ASD(안동수영의달인),경상북도,경상북도 안동시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2021-11-30
ASSIST,충청북도,충청북도 청주시 흥덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,11,2020-01-06
